timestamp_ms,p0_n,p1_n,p2_n,p3_n,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_dps,gyro_y_dps,gyro_z_dps,temp_c
0,86.23,19.3,5.55,4.08,76.8,150.3,1016.0,1.87,16.99,-0.79,27.54
20,67.8,41.14,7.74,3.28,21.1,97.9,889.3,12.75,30.61,3.61,28.3
40,53.15,42.28,22.24,0.15,37.0,25.1,955.7,13.97,15.34,2.98,28.52
60,39.1,54.98,31.63,0,7.7,69.8,863.4,16.27,15.39,6.58,28.81
80,16.24,52.32,42.24,2.26,1.5,76.6,848.3,26.32,7.01,5.01,29.17
100,9.89,58.69,54.09,2.06,134.2,74.0,814.7,38.91,5.46,3.91,29.82
120,2.07,51.03,69.55,4.29,81.8,25.1,809.0,43.98,13.5,0.27,29.81
140,3.42,41.33,79.58,4.65,143.8,-91.3,767.7,34.4,-1.01,0.25,29.72
160,1.0,28.19,86.72,10.55,18.8,-46.5,795.3,42.55,-1.54,-7.3,30.45
180,2.63,15.41,85.6,11.89,90.4,-87.6,781.6,35.95,-10.69,-5.85,30.63
200,0.86,6.8,78.7,26.28,131.2,-101.5,837.5,26.23,-5.53,-1.42,30.63
220,2.06,6.17,64.89,37.75,67.1,-93.4,875.3,27.0,-15.42,-4.7,31.01
240,3.52,0,54.09,53.1,52.4,-99.5,941.3,20.06,-14.62,-6.17,30.9
260,0.78,0,37.77,66.13,19.4,-114.9,969.1,8.66,-26.94,-3.04,31.06
280,0,0,24.9,66.46,-119.5,-160.5,975.2,-4.79,-22.68,-0.06,30.86
300,0.66,0,13.0,62.81,-20.8,-104.0,1008.0,-5.08,-16.45,0.77,30.83
320,0,0,6.47,49.68,-42.6,-103.8,999.9,-20.95,-10.59,2.86,30.79
340,0,5.83,1.78,38.87,-71.7,-57.6,991.4,-25.24,-17.72,7.52,30.8
360,0,0,1.46,22.2,-112.5,-22.4,1024.0,-34.94,-7.16,-1.11,31.09
380,4.02,0,3.18,13.37,-99.7,-82.2,1028.2,-34.1,-15.31,2.96,30.78
400,1.08,1.2,0.48,5.81,-181.1,81.8,1032.4,-40.83,1.07,5.49,30.32
420,0,0,0.09,5.87,-125.6,62.1,990.5,-32.99,-11.87,-1.99,30.27
440,2.07,0,2.42,0,-108.2,127.0,986.7,-44.55,9.73,-0.5,29.93
460,0,0,0,0.89,-147.5,154.0,1006.7,-31.27,9.1,-5.65,29.6
480,0,0,0,0,-6.8,102.7,988.6,-36.62,16.74,-4.26,28.86
500,1.69,7.5,0,0,8.7,44.9,992.1,-25.28,7.44,-6.89,28.79
520,2.43,2.92,0.16,0,-31.3,176.6,957.2,-12.42,16.52,-5.73,28.99
540,0,3.18,0,3.4,-55.1,163.3,1004.5,-7.27,21.59,0.37,28.37
560,72.88,24.51,5.53,0,21.7,145.5,1011.0,0.38,15.47,0.68,28.36
580,64.68,34.96,15.37,2.61,76.3,180.1,943.3,10.1,19.89,2.51,28.34
600,48.45,46.59,19.45,4.89,54.0,72.7,928.4,20.79,20.4,2.79,28.68
620,29.4,55.71,33.83,1.02,96.9,135.4,835.6,27.84,12.08,5.66,29.23
640,16.5,59.37,43.2,0.25,79.1,24.5,859.0,37.11,6.65,4.04,29.65
660,4.25,54.51,58.42,0.03,65.9,55.8,803.4,37.13,13.48,2.99,29.73
680,0,45.85,67.92,0,55.9,32.0,783.5,35.11,4.72,0.85,29.94
700,2.4,33.93,83.39,6.96,43.8,18.4,818.6,40.27,2.95,-0.95,30.18
720,1.51,21.05,83.36,10.75,143.5,0.9,787.4,35.88,-0.04,0.1,30.51
740,0,17.63,83.19,20.52,-12.8,-14.2,812.9,41.56,-23.45,-2.36,30.7
760,0.87,6.67,74.9,27.61,78.7,-138.9,843.4,26.16,-14.81,-8.04,30.89
780,0,0,58.34,46.99,-21.7,-107.5,892.8,19.42,-13.97,-2.28,30.84
800,0,0,41.78,55.57,62.2,-69.9,926.8,14.63,-23.09,-4.47,31.07
820,0,1.61,33.75,62.36,55.2,-118.1,947.6,8.47,-21.95,0.41,31.1
840,1.06,0,21.09,64.41,40.2,-163.0,987.3,-0.45,-19.02,0.24,30.9
860,4.72,0,10.49,58.29,102.1,-132.2,1005.3,-17.16,-11.25,3.47,31.25
880,0,0,9.14,44.29,11.8,-177.5,986.2,-22.45,-22.66,2.1,31.18
900,0,0,2.43,32.36,4.6,-158.2,1002.7,-24.96,-8.31,6.47,30.45
920,0,4.07,1.68,23.91,-36.7,-29.0,1036.8,-32.88,-10.3,2.72,30.78
940,2.63,0,2.54,10.38,-153.5,27.0,1002.5,-38.46,-3.52,5.04,30.51
960,2.89,0,0,7.55,-110.4,-30.8,978.0,-45.91,-1.3,-0.12,30.16
980,0,0.18,0.85,0,-98.1,-49.8,1016.6,-42.92,-1.62,-0.25,30.4
1000,0,1.88,0,0,-180.2,72.8,1002.9,-34.55,2.38,-5.64,29.89
1020,0,0,0,2.54,-134.5,49.8,1011.0,-34.42,14.71,-3.36,29.35
1040,2.72,0.03,1.9,0,-101.4,96.0,968.4,-26.04,19.56,-6.38,28.95
1060,0.41,0,0,1.35,-73.0,37.6,965.6,-26.32,9.61,-2.09,28.69
1080,6.62,0.43,2.58,0,-18.1,99.3,1012.0,-10.65,20.08,-2.25,28.33
1100,2.99,0,0,0.62,24.3,36.9,1004.7,-0.7,23.83,-2.76,28.28
1120,72.08,24.07,11.33,0,-34.4,184.9,962.7,5.4,22.1,2.39,27.92
1140,65.28,35.4,7.01,2.32,88.6,183.9,863.4,7.26,19.96,4.85,28.18
1160,46.45,49.07,20.04,0,-28.5,172.2,943.6,19.93,14.47,2.94,28.79
1180,25.03,53.18,38.69,0.84,178.1,75.7,785.7,23.03,18.74,6.67,28.92
1200,13.39,55.8,49.58,1.34,177.0,75.2,811.6,39.21,12.45,4.0,29.63
1220,3.99,56.88,57.62,2.75,124.5,40.2,840.5,38.05,7.03,3.68,29.82
1240,3.32,44.16,74.66,0,181.9,-9.1,780.1,39.78,1.05,2.07,30.3
1260,0,33.96,81.26,10.42,75.5,-9.6,795.2,45.1,-8.71,-4.24,30.08
1280,0,16.74,86.83,10.88,85.9,-47.7,808.2,38.81,-6.8,-2.25,29.91
1300,2.28,8.81,81.98,22.71,85.8,-68.3,828.1,36.69,-5.62,-6.55,30.7
1320,0,11.61,73.54,32.74,78.7,-170.2,907.5,27.15,-18.55,-3.22,31.26
1340,0.5,3.57,54.13,52.63,8.4,-73.4,898.2,18.07,-13.46,-5.3,30.87
1360,0,6.26,42.77,58.43,-16.4,-165.4,920.1,12.98,-18.47,0.67,30.9
1380,0.64,1.03,31.45,67.28,-79.6,-138.4,1011.3,3.4,-26.97,0.33,31.02
1400,0,0,22.7,67.28,-53.8,-176.5,982.4,-6.47,-23.92,-0.96,31.08
1420,0,0,10.98,63.7,-30.4,-145.3,1009.6,-9.75,-15.64,1.18,30.41
1440,0,1.42,8.68,45.44,-35.6,-120.6,974.6,-21.79,-17.51,2.3,30.97
1460,2.57,2.91,3.23,33.38,-26.8,-123.6,968.6,-27.82,-21.81,2.1,30.67
1480,0,3.5,4.52,16.93,-135.7,-108.8,957.2,-34.39,-14.46,6.66,30.44
1500,3.16,1.19,4.65,15.87,-93.2,-75.0,1020.1,-37.76,0.31,0.59,30.7
1520,0,5.34,0,6.95,-69.5,-18.2,1007.8,-43.95,-3.81,1.25,30.31
1540,2.04,0,5.15,0,-130.3,25.5,981.7,-37.4,7.18,-4.15,29.94
1560,0,0,0,2.38,-131.4,44.1,989.1,-39.02,12.26,-2.91,29.82
1580,0,0.74,0,0,-91.5,105.4,1036.7,-38.27,4.86,-2.1,29.13
1600,0.37,0.34,1.57,1.74,-45.9,188.8,977.2,-30.8,7.61,-4.84,28.91
1620,2.47,0,0,4.0,-86.5,110.0,999.6,-18.95,14.23,-4.99,28.72
1640,0,0,0,0,-55.6,100.2,1018.5,-10.3,14.84,-4.78,28.5
1660,0,0,0,0.36,-27.0,108.4,982.4,-5.56,11.76,0.88,27.95
1680,75.99,19.85,9.13,1.4,3.0,175.4,990.1,7.53,25.51,0.96,28.61
1700,59.82,41.6,18.19,0,60.0,162.8,861.5,21.45,11.38,3.75,28.6
1720,38.19,49.67,23.67,3.63,76.9,101.6,900.0,25.51,13.74,2.8,28.59
1740,22.59,60.23,36.02,4.57,129.5,30.5,826.6,27.58,8.89,9.26,28.97
1760,8.85,60.36,46.04,4.5,163.1,34.6,824.1,34.57,11.21,8.45,29.47
1780,6.99,51.99,70.95,0,38.7,84.1,862.4,42.22,2.51,6.49,29.61
1800,1.9,42.4,74.03,4.67,100.7,-28.5,781.2,42.16,0.99,2.18,29.99
1820,1.03,24.99,87.51,3.97,54.5,-52.3,828.2,42.43,0.38,-4.61,30.23
1840,0.1,11.6,90.5,10.22,30.3,-75.7,853.4,35.94,-6.92,-2.38,30.95
1860,0,12.84,75.65,29.59,123.8,-147.6,853.0,32.84,-10.48,-1.93,30.78
1880,0,5.23,75.04,33.54,68.8,-78.6,889.6,31.49,-19.27,-3.64,30.68
1900,0.03,3.39,50.01,51.42,-68.4,-143.0,907.7,25.11,-9.66,-4.75,31.08
1920,0.08,4.37,35.25,61.56,54.5,-175.7,910.5,8.65,-20.66,-2.96,30.9
1940,0,0,28.65,65.95,-20.7,-183.1,958.5,4.39,-19.33,1.3,30.96
1960,4.23,0,15.31,62.34,-69.2,-166.8,994.5,-10.45,-25.62,-0.65,31.06
1980,0,0,14.17,52.27,20.9,-22.0,1044.1,-10.93,-11.15,3.92,30.71
2000,0.17,0,4.07,40.29,-53.4,-109.3,966.0,-29.18,-21.39,7.55,30.8
2020,0,0.43,3.93,27.74,36.3,-149.5,987.7,-33.93,-24.14,7.35,30.44
2040,3.08,0.23,1.85,4.36,-84.1,-146.2,1026.1,-34.98,-11.46,2.29,30.64
2060,0,0,4.42,10.66,-48.7,-49.1,995.0,-44.88,-8.95,3.77,30.53
2080,0,3.01,0,4.98,-229.5,11.8,971.2,-41.54,4.22,0.18,30.19
2100,0,3.12,0.36,3.54,-141.8,-75.3,1048.7,-40.4,2.26,-1.4,30.14
2120,0,1.82,0,3.03,-58.2,-50.7,1028.8,-37.6,5.19,-1.74,29.19
2140,0,0,0,3.41,-55.4,71.1,1034.0,-31.58,9.68,-5.59,29.68
2160,2.48,0,1.49,0,-68.6,55.6,1037.0,-24.46,20.1,-3.68,28.95
2180,0,3.25,0,0,-23.4,162.6,970.3,-20.41,28.69,-2.73,28.56
2200,0.53,1.33,4.59,6.08,4.2,146.4,992.1,-9.37,21.76,-0.31,28.1
2220,0,0,1.78,1.25,-60.0,193.9,951.4,3.44,9.43,-4.3,27.82
2240,69.94,29.75,14.06,0,-16.9,152.6,1004.3,5.65,18.3,0.58,28.31
